gap_year,location,living,gender,race,pre_o,sports,best,p1_meet,p1_closeness,p2_meet,p2_closeness,p3_meet,p3_closeness,p4_meet,p4_closeness,contact,group_size,in_person,satisfaction,fourth_id,first_id,id,third_id,second_id,most_connected
No,Other,Suitemates,Female,White,None,No,"Living in close proximity (same floor, same house, etc.)","Living in close proximity (same floor, same house/dorm, etc.)",5,Roommate/Suitemate,4,"Living in close proximity (same floor, same house/dorm, etc.)",5,"Living in close proximity (same floor, same house/dorm, etc.)",5,Hang out in room/suite,0,The courtyard of your house/dorm,Very Satisfied,40,784,3,275,295,977
No,A River House,Suitemates,Male,Asian,FOP: First-Year Outdoor Program,No,Already knew them before coming to Harvard,Friend of a friend,4,Already knew them before coming to Harvard,4,Club/co-curricular activity,4,Friend of a friend,4,Hang out in room/suite,10,The courtyard of your house/dorm,Satisfied,999,841,4,190,124,466
No,The Yard,Suitemates,Female,White,FAP: First-Year Arts Program,No,"Living in close proximity (same floor, same house, etc.)",Roommate/Suitemate,4,"In-person (The courtyard, the line at the dining hall, etc.)",5,Friend of a friend,4,Friend of a friend,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",3,The Square,Satisfied,780,119,6,825,973,119
No,The Yard,Single,Male,White,FYRE: First-Year Retreat and Experience,No,Pre-orientation program,Pre-orientation program,3,Friend of a friend,3,Already knew them before coming to Harvard,2,Already knew them before coming to Harvard,2,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",8,The River,Dissatisfied,776,381,11,709,289,381
Yes,The Yard,Single,Female,White,LIFE: Leadership Institute for the First-Year Experience,No,Friend of a friend,Already knew them before coming to Harvard,5,Friend of a friend,4,Friend of a friend,4,Friend of a friend,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,A restaurant in the area,Satisfied,219,659,16,478,378,289
No,The Yard,Suitemates,Male,Other,FIP: First-Year International Program,No,Pre-orientation program,Roommate/Suitemate,2,Pre-orientation program,4,Pre-orientation program,2,Breakout room of a class,3,"Social media (GroupMe, Instagram, Discord, texting, etc.)",2,Exploring the area,Dissatisfied,381,240,20,148,680,289
No,The Quad,Suitemates,Male,White,FOP: First-Year Outdoor Program,No,Club/co-curricular activity,"Living in close proximity (same floor, same house/dorm, etc.)",5,"Living in close proximity (same floor, same house/dorm, etc.)",5,"Living in close proximity (same floor, same house/dorm, etc.)",4,"Living in close proximity (same floor, same house/dorm, etc.)",3,Hang out in room/suite,7,A restaurant in the area,Satisfied,742,350,22,481,173,318
No,A River House,Suitemates,Male,White,FOP: First-Year Outdoor Program,No,Roommate/Suitemate,Roommate/Suitemate,3,Roommate/Suitemate,2,Virtual entryway,1,Zoom lecture,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",0,The River,Neutral,356,826,23,684,41,318
No,The Yard,Suitemates,Male,Asian,FAP: First-Year Arts Program,Yes (Club),Friend of a friend,Roommate/Suitemate,5,Friend of a friend,4,Friend of a friend,4,Friend of a friend,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",0,The courtyard of your house/dorm,Satisfied,427,714,28,287,285,466
No,The Yard,Single,Male,Asian,FOP: First-Year Outdoor Program,No,Club/co-curricular activity,Zoom lecture,4,"In-person (The courtyard, the line at the dining hall, etc.)",4,Already knew them before coming to Harvard,4,Friend of a friend,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",20,A restaurant in the area,Very Satisfied,79,554,30,466,405,955
No,The Quad,Suitemates,Female,Asian,FOP: First-Year Outdoor Program,No,Roommate/Suitemate,Roommate/Suitemate,4,"Social media (GroupMe, Instagram, Discord, etc.)",4,Already knew them before coming to Harvard,4,Zoom lecture,3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",20,Exploring the area,Satisfied,539,304,31,119,181,119
No,At Home (in the US),Not Applicable,Female,Asian,FYRE: First-Year Retreat and Experience,No,Roommate/Suitemate,"Social media (GroupMe, Instagram, Discord, etc.)",3,Virtual entryway,3,Club/co-curricular activity,3,Club/co-curricular activity,2,"Social media (GroupMe, Instagram, Discord, texting, etc.)",0,Not Applicable,Satisfied,718,564,32,974,956,256
No,The Yard,Suitemates,Female,Asian,FAP: First-Year Arts Program,No,Roommate/Suitemate,Roommate/Suitemate,5,Already knew them before coming to Harvard,5,Already knew them before coming to Harvard,5,Already knew them before coming to Harvard,5,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,Exploring the area,Satisfied,545,1015,33,1025,1012,318
No,A River House,Single,Female,Asian,FYRE: First-Year Retreat and Experience,Yes (Club),Roommate/Suitemate,"NA",1,"NA",1,"NA",1,"NA",1,"Social media (GroupMe, Instagram, Discord, texting, etc.)",0,A restaurant in the area,Very Dissatisfied,289,289,34,289,289,289
No,A River House,Suitemates,Female,Asian,FUP: First-Year Urban Program,No,"Living in close proximity (same floor, same house, etc.)",Pre-orientation program,4,Club/co-curricular activity,3,Pre-orientation program,3,Club/co-curricular activity,3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",5,The River,Neutral,698,1043,35,496,49,645
No,The Yard,Suitemates,Female,White,None,Yes (Varsity),Club/co-curricular activity,Club/co-curricular activity,4,Club/co-curricular activity,3,Roommate/Suitemate,4,Club/co-curricular activity,4,Shared club/co-curricular activity,0,The Yard,Dissatisfied,289,660,36,603,90,91
No,A River House,Suitemates,Female,Other,None,No,"Living in close proximity (same floor, same house, etc.)",Breakout room of a class,3,"Living in close proximity (same floor, same house/dorm, etc.)",2,Roommate/Suitemate,2,Club/co-curricular activity,2,"Social media (GroupMe, Instagram, Discord, texting, etc.)",11,The Yard,Satisfied,871,197,38,427,952,73
No,A River House,Suitemates,Male,Other,None,No,"Living in close proximity (same floor, same house, etc.)",Already knew them before coming to Harvard,5,"Living in close proximity (same floor, same house/dorm, etc.)",4,"Living in close proximity (same floor, same house/dorm, etc.)",4,"Living in close proximity (same floor, same house/dorm, etc.)",3,Hang out in room/suite,2,Exploring the area,Satisfied,136,509,40,3,295,289
No,Union Dorm,Suitemates,Male,Other,None,Yes (Varsity),Roommate/Suitemate,Roommate/Suitemate,3,Roommate/Suitemate,3,Club/co-curricular activity,4,Club/co-curricular activity,3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",0,The River,Satisfied,59,205,42,187,45,41
Yes,The Quad,Suitemates,Male,Black or African American,FUP: First-Year Urban Program,No,Roommate/Suitemate,Already knew them before coming to Harvard,4,Friend of a friend,4,Roommate/Suitemate,3,Roommate/Suitemate,2,Hang out in room/suite,10,The Square,Satisfied,895,713,44,701,443,48
No,A River House,Suitemates,Male,Black or African American,LIFE: Leadership Institute for the First-Year Experience,No,Club/co-curricular activity,"Social media (GroupMe, Instagram, Discord, etc.)",4,"Social media (GroupMe, Instagram, Discord, etc.)",4,"Social media (GroupMe, Instagram, Discord, etc.)",3,"Social media (GroupMe, Instagram, Discord, etc.)",3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",4,A restaurant in the area,Very Satisfied,688,514,47,341,1068,688
No,The Yard,Suitemates,Female,Asian,FOP: First-Year Outdoor Program,No,Already knew them before coming to Harvard,Already knew them before coming to Harvard,4,Club/co-curricular activity,4,Already knew them before coming to Harvard,4,Friend of a friend,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",6,Exploring the area,Satisfied,126,1049,49,963,35,706
No,A River House,Suitemates,Male,White,FOP: First-Year Outdoor Program,No,Friend of a friend,Roommate/Suitemate,4,Pre-orientation program,4,Virtual event to meet people (“speed friending” or similar),4,Friend of a friend,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",2,Exploring the area,Very Satisfied,142,757,52,413,324,814
No,A River House,Suitemates,Male,Asian,FOP: First-Year Outdoor Program,Yes (Club),Already knew them before coming to Harvard,Already knew them before coming to Harvard,2,Already knew them before coming to Harvard,2,"Living in close proximity (same floor, same house/dorm, etc.)",2,"Living in close proximity (same floor, same house/dorm, etc.)",1,Hang out in room/suite,0,The courtyard of your house/dorm,Dissatisfied,432,439,54,821,852,179
No,A River House,Single,Female,Black or African American,FUP: First-Year Urban Program,No,"Social media (GroupMe, Instagram, Discord, etc.)","Social media (GroupMe, Instagram, Discord, etc.)",4,"In-person (The courtyard, the line at the dining hall, etc.)",2,"Social media (GroupMe, Instagram, Discord, etc.)",2,"In-person (The courtyard, the line at the dining hall, etc.)",2,"Social media (GroupMe, Instagram, Discord, texting, etc.)",1,Not Applicable,Very Dissatisfied,231,1033,57,145,1007,450
No,A River House,Suitemates,Male,Asian,FAP: First-Year Arts Program,No,"Living in close proximity (same floor, same house, etc.)","Living in close proximity (same floor, same house/dorm, etc.)",3,Club/co-curricular activity,3,Pre-orientation program,4,Already knew them before coming to Harvard,3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",3,The Square,Satisfied,31,841,58,765,422,318
Yes,At Home (international student),Not Applicable,Female,White,FIP: First-Year International Program,No,"Living in close proximity (same floor, same house, etc.)","Social media (GroupMe, Instagram, Discord, etc.)",4,"Social media (GroupMe, Instagram, Discord, etc.)",3,"Social media (GroupMe, Instagram, Discord, etc.)",3,Pre-orientation program,3,"Social media (GroupMe, Instagram, Discord, texting, etc.)",0,Not Applicable,Very Dissatisfied,50,366,60,928,508,318
No,At Home (in the US),Not Applicable,Female,Other,None,No,Already knew them before coming to Harvard,Breakout room of a class,2,"Social media (GroupMe, Instagram, Discord, etc.)",1,"Social media (GroupMe, Instagram, Discord, etc.)",2,"NA",1,"Social media (GroupMe, Instagram, Discord, texting, etc.)",0,Not Applicable,Very Dissatisfied,1064,939,64,589,533,645
No,The Quad,Suitemates,Male,Hispanic or Latino,None,No,"Living in close proximity (same floor, same house, etc.)","Living in close proximity (same floor, same house/dorm, etc.)",4,"Living in close proximity (same floor, same house/dorm, etc.)",3,Roommate/Suitemate,3,"Living in close proximity (same floor, same house/dorm, etc.)",3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",2,The Yard,Satisfied,901,65,65,246,65,65
No,The Yard,Suitemates,Female,Asian,FUP: First-Year Urban Program,No,"Social media (GroupMe, Instagram, Discord, etc.)","Social media (GroupMe, Instagram, Discord, etc.)",5,"Social media (GroupMe, Instagram, Discord, etc.)",5,"Social media (GroupMe, Instagram, Discord, etc.)",5,"Social media (GroupMe, Instagram, Discord, etc.)",5,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",10,The Yard,Very Satisfied,438,735,73,152,435,318
No,The Quad,Suitemates,Male,Asian,FIP: First-Year International Program,No,Club/co-curricular activity,Roommate/Suitemate,4,"Living in close proximity (same floor, same house/dorm, etc.)",4,Virtual entryway,4,Virtual entryway,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",10,Exploring the area,Satisfied,508,692,85,359,965,289
